year,species,clutch,age_predated,initial,predated,survival
1994,callidryas,18,7,11,3,0.727272727
1993,callidryas,10,7,30,7,0.766666667
1993,callidryas,27,7,36,9,0.75
1993,callidryas,33,7,24,12,0.5
1993,callidryas,65,7,13,2,0.846153846
1993,callidryas,72,7,25,25,0
1993,callidryas,83,7,30,10,0.666666667
1993,callidryas,96,7,50,9,0.82
1993,callidryas,116,7,50,26,0.48
1993,callidryas,118,7,59,23,0.610169492
1993,callidryas,137,7,27,15,0.444444444
1994,callidryas,22,8,21,13,0.380952381
1993,callidryas,120,8,16,12,0.25
1993,spurrelli,143,0,41,20,0.512195122
1993,spurrelli,156,0,93,78,0.161290323
1994,spurrelli,139,4,46,36,0.217391304
1994,spurrelli,141,0,44,44,0
1993,spurrelli,134,1,37,35,0.054054054
1993,spurrelli,145,3,231,156,0.324675325
1994,spurrelli,151,3,42,42,0
1993,spurrelli,139,4,41,35,0.146341463
1993,spurrelli,140,4,58,46,0.206896552
1994,spurrelli,156,4,151,61,0.59602649
1993,spurrelli,130,5,14,13,0.071428571
1994,spurrelli,240,2,43,34,0.209302326
